,Speaker,Text
71,Howard,Emily your face is like a precious dew-kissed flower.
73,Sheldon,Interesting. I can’t think of a single thing I wouldn’t say to someone’s face.
74,Sheldon,I know.
75,Sheldon,Leonard I’m hungry!
76,Leonard,No what’s disgusting is he’s still keeping track.
77,Raj,I thought she was the whore of Omaha?
78,Sheldon,Oh great. Now I’m worse than a fraud. I’m practically a biologist.
79,Raj,I was so smooth on that date.
80,Penny,Good. Your mom seems nice.
81,Sheldon,Well can you believe she said I embarrassed her?
82,Howard,It’s okay.
83,Penny,You know my aunt changed her diet and in a few months she…
84,Penny,Sure. Oh we had one of these growing up. I used to play all the time.
85,Sheldon,I looked over the board and it turns out you were right.
86,Howard,Okay you’re right I got myself into this but I’ve never missed a Comic-Con with you guys.
87,Howard,Hello.
88,Raj,Excuse me but how are we going to make any modifications without Wolowitz? Have you heard from Penny yet?
89,Leonard,Yeah we won’t be eating Arthur tonight.
90,Leonard,Yeah she does.
91,Raj,Well I can’t take all the credit. She let me do it to her but uh but I can always call her and cancel.
92,Penny,I don’t know. This is all starting to feel like a sad attempt to recapture our youth.
93,Penny,Oh hey no you don’t have to apologize. There’s no reason you have to tell me. I was just you know surprised.
94,Penny,Not in a rush busy with work…
95,Sheldon,Good choice it’s disgusting.
96,Leonard,Hey.
97,Sheldon,Oh no it will. See by keeping my mind engaged I’ll become more focused.
98,Sheldon,We don’t have that option we’ve accepted the challenge. We can’t run away from a fight.
99,Penny,Uh no. Actually I didn’t invite her.
100,Sheldon,It is remarkable.
101,Sheldon,Wait. Wait. And says?
102,Penny,Okay show’s over.
105,Sheldon,Fourteen and a half.
106,Raj,Well there’s no toilets we’ll have to do our business in a bucket.
107,Leonard,Listen we did a stupid thing.
108,Howard,Hey hey do you hear yourselves? Let’s just you know all calm down and take a step back.
109,Penny,Oh come on you know Leonard’s had girls over before right?
110,Sheldon,Complete with bulletproof bracelets and lasso of truth. Invisible plane sold separately.
111,Raj,Oh my God I think you broke my toe!
112,Sheldon,Okay I’m gonna let that slide because I know you’re hopped up on tea bags.
113,Penny,You make a cute Green Arrow.
114,Sheldon,What are you doing? You have to start with the edges.
115,Sheldon,Is it kung pao chicken?
116,Leonard,That’s great. Get out.
117,Penny,Well I’m watching it now. Why would I want to see it again on Friday?
118,Sheldon,Although unlike your date she actually showed up. Oh he looks sad again.
119,Sheldon,I didn’t want to upset you. Howard made it very clear that my allegiance should be to male comrades before women who sell their bodies for money.
120,Sheldon,Oh I have a solution first go into the future and obtain a cloaking device.
121,Raj,I know. Blue shag what were you thinking?
122,Leonard,She doesn’t flirt with doctors.
123,Leonard,What are you doing?
124,Raj,I’ve uh created some other user accounts so I can post positive comments about their paper.
125,Sheldon,This isn’t fair. You’ve discussed aspects of our physical relationship with Penny.
126,Raj,I’m sorry. I did what I could.
127,Penny,Yeah. I’m just a little surprised you didn’t tell me.
128,Raj,She was blowing a spit bubble. It was adorable.
129,Leonard,Your company?
130,Howard,Oh we’re scientists.
131,Raj,It’s not creepy. I built a Footprints on the Moon fan page Trent joined it.
132,Penny,How?
133,Penny,How come we can’t think of something we both want to do?
134,Howard,Okay gotta go.
135,Penny,It doesn’t matter why he told me. It’s true isn’t it?
136,Penny,Oh this is ridiculous. What?
137,Leonard,Drink whatever you want.
138,Leonard,No.
139,Penny,Besides I don’t need six hours of your hair is different why did you change your hair? I’m holding my breath until your hair grows back.
140,Leonard,I know it’s crazy. Welcome to the Thunderdome people. 
141,Sheldon,Actually I was wondering if I could add a third new chess piece. How do you think people would feel about Prince Joey the king’s feeble-minded but well-meaning cousin?
142,Sheldon,Oh yes.
143,Leonard,Wow y-yeah sure. Yeah no problem. Uh Here’s my home number here’s my cell here’s my office here’s my parents’ number up in New Jersey they always know how to reach me. So…
144,Penny,Sheldon doesn’t Amy look hot? That’s got to put some starch in the upper flermin.
145,Sheldon,Cookie.
146,Penny,Please show us?
147,Penny,I know. I just need you stop talking.
148,Leonard,So it’s settled. You’ll stay with us.
149,Penny,Oh God I don’t know Sheldon are you Star Wars?
150,Howard,Yeah. Mrs. Wolowitz was pretty special. When I first moved to America Howard was my only friend and she made me feel so welcome in her home. Which says a lot because those first few years she thought I was the gardener.
151,Leonard,Superceded!
152,Sheldon,Don’t know.
153,Sheldon,Excellent! What are you planning to wear?
154,Howard,It is.
155,Howard,That what that’s for? In India the lid just touches the cheese. Of course we also have rampant poverty and periodic outbreaks of cholera so a little cardboard in our cheese is no biggie.
156,Leonard,That is very mature of you so I’m gonna go ahead and say suckah.
157,Penny,Oh hi. What’s going on?
158,Sheldon,Why’s that?
159,Raj,Plus no one stole their pants.
160,Penny,Are you kidding me?
161,Raj,Legoland seems like a hollow dream now.
162,Leonard,You’re the other baby.
163,Leonard,You think?
164,Leonard,Really? The old Asian man is not your Meemaw?
165,Penny,Well he has a job. How bad can it be?
166,Sheldon,That’s not an apology simply an acknowledgement that I was right.
167,Raj,Unbelievable.
168,Howard,You’re such a child.
169,Penny,You were but somehow I held myself back.
170,Leonard,I’m sorry. I’m never mind.
171,Sheldon,Very well.
172,Raj,May I have a grasshopper with a little umbrella please?
173,Howard,Uurgh.
174,Sheldon,Thank you. You just robbed me of the opportunity to stumble upon the figurine and make the oh-so-satisfying journey from discovery to desire to possession.
175,Sheldon,Thanks Grandma.
176,Sheldon,Details Leonard the success or failure of our deceitful enterprise turns on details.
177,Howard,Oh no that’s mine.
178,Leonard,You left with his date. Friends don’t do that to each other.
179,Leonard,You worked out all the math.
180,Leonard,Okay.
181,Sheldon,Oh other than waiting out the exponential growth period of the virulent organisms trooping through my microvilli into my circulatory system hunky-dory.  Did I say something amusing?
182,Howard,The polite response is thank you for noticing.
183,Leonard,Then why did you?
184,Sheldon,Okay. Um what is the correct interpretation of quantum mechanics?
185,Sheldon,Penny please we’re facing a far more serious problem than stray arachnids.
186,Penny,Then swim to Cuba.
187,Howard,You can do both like Michael Jackson’s Billie Jean. While you’re dancing you’re thinking like darn it whose baby is it?
188,Sheldon,You’re right. My apologies.
189,Leonard,No.
190,Leonard,I’m really sorry Sheldon.
191,Leonard,Sheldon I’m not taking you to Switzerland.
192,Howard,I’m signing off now.
193,Leonard,What are you thinking?
194,Sheldon,She’s right. You know I just learned Amy went to a theme park without me but I’m not going to ruin her birthday. I’ll wait and ruin 24 individual hours sprinkled throughout the year. Boop.
195,Sheldon,Things are good right now.
196,Sheldon,Sleepy kitty.
197,Penny,He loves that movie.
198,Sheldon,So goofing off. As I was saying I’m done with work and Leonard’s not. So good news you get to take me home. Play your cards right I’ll let you drive me past the lot where the buses park at night.
199,Leonard,Hey why don’t we all move over there so Leslie can join us.
200,Sheldon,Heated to 180 degrees?
203,Raj,What else have you been thinking about doing?
204,Raj,Yeah if your mom could see her little Bar Mitzvah boy right now she’d have a heart attack.
205,Penny,Does he even like lemon bars?
206,Sheldon,No. You too are safe.
207,Penny,My point is I do not judge a book by its cover. I am interested in the person underneath.
208,Raj,I uh I suppose I could stay for some dessert.
209,Leonard,We’d still get in but first I’d hit you over the head with his stick chair.
211,Leonard,Fine. But can’t we go home and start this?
212,Penny,I’ve been responsible for my own buzz since 2003. Another round for me and my homegirl.
214,Leonard,What does that mean?
215,Leonard,Come on you know how it is with break-ups.
216,Leonard,I don’t think Penny’s ever coming here again.
217,Howard,You know Amy I don’t even think you and I have had a real conversation. Let’s use tonight to get to know each other a little better. You start.
218,Leonard,What are you worried about?
219,Sheldon,This is a restaurant. It’s lunchtime. I would think as a waitress you’d be familiar with the paradigm.
220,Leonard,Nicely done Howard.
221,Sheldon,Yeah but you’ve got a can-do attitude and that’s what’s important.
222,Leonard,Is that it?
223,Leonard,Okay yeah fine.
224,Leonard,Because we didn’t want to be disturbed.
225,Sheldon,Wrong. The best number is 73. You’re probably wondering why.
226,Howard,You know when Cinnamon won’t take her medicine I hide it in a piece of cheese.
227,Leonard,You want some Oreos?
228,Raj,I don’t know. Maybe Jughead’s a Terminator.
229,Raj,Hello Sheldon.
230,Raj,Hey guys. Sorry I am so late. I was on the phone with my mother.
231,Sheldon,You know what that’s not a flag question. Next caller.
232,Penny,Good night Leonard.
233,Sheldon,I understand. Either way I want you to know that I’m aware of how difficult I can be. So I just want to say thank you for putting up with me.
234,Leonard,Penny I can still drive you.
235,Leonard,No.
236,Sheldon,Any word on my stolen items?
237,Leonard,Is Thai food okay with you Penny?
238,Penny,Okay.
239,Sheldon,You have to help it’s in the roommate agreement.
240,Leonard,Yeah.
241,Penny,It’s open.
242,Penny,Yeah I got it.
243,Leonard,Yeah. I had higher hopes for a movie called Serial Ape-ist 2 Monkey See Monkey Kill. You know it’s still possible for you to be good in a bad movie.
244,Raj,Here let me help you.
245,Penny,Exactly.
246,Sheldon,Stop. We can’t do this it’s not right.
247,Sheldon,We’re going to be late. I’m pacing nervously.
248,Howard,How do you know what the exact temperature of the room is?
249,Leonard,We’re gonna write an application…
250,Sheldon,Oh good! You’re just in time. I believe I’ve isolated the algorithm for making friends.
251,Raj,Uh.
252,Sheldon,Hmm. You sure your mothlike personality won’t be drawn to this blazing fire that is myself?
253,Sheldon,I am.
254,Leonard,Doesn’t sound that bad.
255,Sheldon,Mommy I love you. Don’t let Spock take me to the future!
256,Sheldon,I spilled grape juice.
257,Sheldon,I don’t drink coffee.
258,Penny,What is your point?
259,Howard,You really think so?
260,Penny,He’s bringing me. Who are you bringing?
261,Penny,Good for you sweetie. Okay next question. What is the quantum mechanical effect used to encode data on hard disk drives? Howard.
262,Howard,Okay.
263,Penny,Yep.
264,Penny,Shut up. You can do that? I mean wouldn’t that solve the world’s energy crisis?
265,Sheldon,Oh I know. I’m now an independent contractor.
266,Leonard,Maybe we could get Batman to actually show up.
267,Penny,Interesting.
268,Howard,Thank you sir. 
269,Sheldon,Yeah I do. Which is why I got Amy this.
270,Penny,I would have thought at a miniature horse show.
271,Leonard,It’ll be fine. You’ll see. Sheldon? Buddy? 
272,Sheldon,Someone will show.
274,Sheldon,Where?
275,Leonard,It’s not me it’s my new ringtone. The Joker from Batman.
276,Sheldon,Then I believe we’ve arrived at another quintessential rock-paper-scissors- lizard-Spock moment.
277,Leonard,What are you doing here?
278,Leonard,I don’t know I’ve never reneged on a proffer of sperm before.
279,Penny,The hell do you think you’re going?
280,Sheldon,That’s what you said.
281,Raj,Hello.
282,Penny,Yeah. You’re probably right. I used to think my high school P.E. teacher didn’t like me but it turned out she liked me a little too much.
283,Leonard,No.
284,Leonard,Great. Now that we’re all on the same page let’s get together tonight and work on it.
285,Leonard,Here’s your tea Mother.
286,Penny,He really needs to dial it down.
287,Sheldon,Neeeeeooooowwwwww!
288,Penny,Okay um oh hey I’m having a party on Saturday so if you guys are around you should come by.
289,Raj,Oh yeah?
290,Sheldon,You said it not me.
291,Leonard,Well have fun with whatever nightmare’s behind door number two.
292,Penny,I don’t care. I’m taking a stand. Metaphorically.
293,Leonard,If we’re going to fight over Missy let’s do it the right way. The honourable way.
295,Leonard,And that’s a lie right?
296,Sheldon,Oh I was having a little trouble sleeping and I just thought uh seeing as you’re up we could talk.
297,Howard,Penny is wearing the worst Catwoman costume I have ever seen and that includes Halle Berry’s.
298,Sheldon,I possess the DNA of Leonard Nimoy?!
299,Sheldon,I don’t think there’s anything in this jewellery store that Amy would appreciate more than the humidifier we were just looking at at Sears.
300,Sheldon,Yeah like a bunch of savages.
301,Leonard,Oh glad you’re here uh sit down I’ll get you a plate. Mom you remember Penny.
302,Penny,Well it’s a chance you have to take. I mean look if it’s meant to be it’ll be.
303,Raj,But he’s afraid of dogs.
304,Raj,It means I like women as well as their skincare products.
305,Penny,Yeah bye sweetie.
306,Raj,I don’t get it. You had a great time.
307,Raj,Fine. Paint green flames on your little scooter with her. 
308,Sheldon,What are you suggesting?
309,Raj,Oh Lucy you don’t have to answer that. Don’t put her on the spot. She hates that. Am I right? Tell her how much you hate being put on the spot. Go ahead tell her.
310,Penny,I don’t know.
311,Penny,Interesting. I usually just have coffee. You’ve been up all night?
312,Leonard,Guys in 30 seconds we went from let’s change the world to let’s watch TV.
313,Raj,Oh yeah like you have a shot with Zac Ephron.
314,Penny,You’re right. Just forget it.
315,Penny,Okay. What if I got him to apologize and promise to behave?
316,Leonard,Hi Kurt.
317,Sheldon,Pattern is the same as fermions travels on the pathways hexagonal it’s always hexagonal…
318,Leonard,Very good thanks for asking. Come on in.
319,Leonard,What?
320,Sheldon,Yeah I’m familiar with your work. C-minus was your gift.
321,Penny,No thank you.
322,Sheldon,You see what happens when you let girls play D&D?
323,Sheldon,Huh. Seems like an awful lot of trouble to go through for intercourse. Don’t you have access to women who will do it for money? By the way another accepted usage for the term ho.
324,Sheldon,I do.
326,Sheldon,Well you didn’t suggest a beach house.
327,Howard,Miss.
328,Penny,Good move telling Sheldon.
329,Howard,Okay I know what I’m going to do.
330,Penny,Do I have a choice?
331,Howard,Well obviously you don’t remember your circumcision.
332,Leonard,And his tight little pants that somehow did not make him sterile.
333,Penny,No he was some kind of scientist let me start again. Oh hey Leonard.
334,Leonard,Then I guess congratulations are in order.
335,Leonard,Thank you.
336,Sheldon,Dr Gablehauser.
337,Leonard,Thank you. What did she mean she’s happy for me? Is she happy because I’m seeing someone or is she happy because she thinks that I’m happy because anyone who cared for someone would want them to be happy even if the reason for their happiness made the first person unhappy. You know because the second person though happy is now romantically unavailable to the first person.
338,Leonard,Yeah just back there.
339,Leonard,What did I do now?
340,Sheldon,So Bernadette if I express interest in your baby will you promise not to make me touch it?
341,Sheldon,We were really hitting it off.
342,Sheldon,Don’t beat around the bush Leonard. If you don’t want me here just say the word and I’ll leave.
343,Leonard,Maybe along the z-axis but x and y are looking pretty sad.
344,Leonard,How?
345,Sheldon,No you didn’t. But keep in mind I felt extremely important.
346,Leonard,Some psychologists perform operant conditioning with punishment. Maybe we can come up with a punishment for straying off topic.
347,Leonard,You’re not a lawyer Sheldon you’re just a know-it-all.
348,Leonard,I really like you but I want to see how things go with Mark?
349,Sheldon,So have these two and they’re having dinner with us.
350,Raj,What happened?
351,Sheldon,She is. But when do they get to the part about streetcars?
352,Leonard,Is it about the failing state of my relationship with Penny?
353,Leonard,Yeah?
354,Sheldon,Was that sarcasm?
355,Sheldon,What are you crazy? I’m on a unicycle.
356,Leonard,Okay I’ll be right in.
357,Penny,Oh.
358,Penny,Um I don’t know I don’t think a lot.
359,Howard,Really?
360,Sheldon,When there was no more room in the floor safe.
361,Raj,Alright this goes without saying but I’m just going to say it anyway. Hands off my sister.
362,Raj,Knock yourself out.
363,Howard,Of course but it’s all Indian food. You can’t find a bagel in Mumbai to save your life. Schmear me.
364,Howard,No you didn’t. I did.
365,Penny,Yeah. You tell him babe.
366,Sheldon,All right that’s it. Strike three.
367,Sheldon,Is that why you didn’t cover our escape and let us get cut down like animals?
368,Howard,Oh please. Look in the mirror. You both look ten years older than I do.
369,Leonard,This is ridiculous I’m jumping in.
370,Sheldon,Why would I do that?
371,Howard,It is. If you like wandering around a big empty house with no one to love you.
372,Penny,That wasn’t a long hug.
373,Howard,Can I ask you guys a question? So I’m seeing Lucy tomorrow night and I’ve never hung out with someone who broke up with me. How do you do it?
374,Raj,No Stuart picked out those throw pillows all on his own.
375,Sheldon,When the serpent slithers to an opposing player’s piece that piece is considered poisoned and will die after two more moves. Ugh.
376,Leonard,Oh right sure. I wish you could stay in LA a while longer.
377,Howard,Shut your ass!
378,Penny,All right let’s just say we’ve warmed up.
379,Howard,Hey uh Sheldon you want anything?
380,Howard,Sorry. I I just…
381,Penny,I told her to be true to herself and do what makes her happy.
382,Leonard,Uh-huh.
383,Howard,That’s ’cause we’re the good guys.
384,Raj,Hey guys guess who I found at LAX. My baby sister Priya.
385,Raj,Oh yeah? Can you do this? 
386,Leonard,Let me guess you have a problem with this.
387,Raj,Screw you. That was a beautifully written penis metaphor.
388,Leonard,Hang on.  You might be from Texas but I’m from New Jersey.
389,Sheldon,Bye.
390,Sheldon,I’m back down to nine friends. Make it eight I’m sick of Wolowitz too.
391,Leonard,What is Pink Cheeks?
392,Raj,Alright this goes without saying but I’m just going to say it anyway. Hands off my sister.
393,Leonard,It’s Darth Vader shampoo.  Luke Skywalker’s the conditioner.
394,Howard,Okay just to be clear roller skating was my idea and I’m very unhappy that you turned it into a double date and I hope you both fall on your asses and break your coccyxes.
395,Sheldon,Yes?  Did you forget your key?
396,Sheldon,Fine.
397,Leonard,Well…
398,Leonard,That was really intense.
399,Sheldon,What’s up? I’ll tell you what’s up. I’m in a crisis situation and I need you to marshal your powers of concentration limited as they may be…
400,Raj,Hey so what was Adam West like on the phone?
401,Sheldon,Way ahead of you that’s an “I Can’t Believe It’s Not Butter” stick.
402,Leonard,Sheldon it’s not that bad.
404,Howard,You mean so it doesn’t hit the fan?
405,Sheldon,Yep I’m on it. Hey look at that an Indian guy outsourcing a computer job to a white fella.
406,Leonard,I’ve never played that before.
407,Leonard,Our pleasure.
408,Leonard,It’s a snowflake. From the North Pole.
409,Leonard,Well this is nice. We don’t have a lot of company over.
410,Leonard,Before I come in you should know I have gas. 
411,Sheldon,If you ask me this whole thing is a waste of our time.
412,Penny,Do you know what that means?
413,Sheldon,That’s your problem. You can’t be alone.
414,Leonard,Is that a retinal scanner?
415,Penny,No just mail no benefits.
416,Howard,Me too.
417,Leonard,Hey.
418,Raj,I don’t know. Maybe ’cause dark doesn’t show the stains?
419,Howard,I mean come on look at you. You’re classically handsome you’ve got a swimmer’s body. Next to you I look like me.
420,Sheldon,Oh no me as well. Uh please e-mail it to Sheldon at bazinga dot biz. Why dot biz? Because I just gave you the business. And also bazinga dot com was taken.
421,Leonard,Snipe.
422,Howard,I just got chills.
423,Leonard,You know what I’m so tired I can’t even think straight. I’m going home. Will one of you guys give this nutbag a ride back later?
424,Penny,What? You were all going as the Hulk?
425,Sheldon,She’s gonna hate the panels.
426,Penny,So what that’s it? You’ve stayed with Sheldon all this time because he kept you from going to federal prison?
427,Sheldon,I beg to disagree. “A girlfriend shall be deemed quote living with un-quote Leonard when she has stayed over for A ten consecutive nights or B more than nine nights in three week period or C all the weekends of a given month plus three weeknights.
428,Sheldon,Mm-hmm.
429,Howard,Tell her it doesn’t matter. Tell her her eyes shimmer like opalescent lilies in the lake of the palace of the celestial maidens.
430,Sheldon,We should get to work.
431,Sheldon,When I’ve seen two consecutive negative throat cultures spaced 12 hours apart. You know the drill. All right if you’ll excuse me I am off to start a prophylactic course of antibiotics.
432,Sheldon,Now that will not be in this week’s e-mail blast.
433,Leonard,Do whatever you want.
434,Penny,What? I don’t know. It doesn’t matter.
435,Raj,Okay. I’ll leave. But just know every time I come in here I’ll be thinking of you.
436,Sheldon,Morning Professor Stevens. Don’t look at that whiteboard. That’s my math not your math. Keep walking nosey.
437,Howard,Oh they only have Thursday and Sunday passes left.
438,Howard,Ugh let’s get this over with.
439,Sheldon,Oh there it is tacos.
440,Penny,Oh I’m gonna miss you.  See you later.
441,Sheldon,All right now before you enter my bedroom unescorted I need you to understand that this onetime grant of access does not create a permanent easement. Easement. It’s a legal right
442,Leonard,Let it fly.
443,Leonard,Night. Attaboy Hofstadter. Nothing gets the ladies hotter than software development analogies. Hey I’m back.
444,Leonard,Yeah buddy?
445,Sheldon,I sense that you’re trying to slow-walk me to an epiphany. Would you mind very much jumping to it?
446,Sheldon,I believe that you’re capable of great change. Like when I finally got you to stop saying Valentimes Day.
447,Howard,I’ve got some feelers out. In the meantime listen to this.
448,Sheldon,I trusted you with my email address and you betrayed that trust by sending me Internet banality strike one. Touching my food strike two.
449,Penny,Well it creeps me out.
450,Penny,I was kind of hoping you would.
451,Raj,It’s nice to think that you grew up in this room and now your daughter’s going to as well.
452,Sheldon, Yes.
453,Sheldon,I am Sheldor of Azeroth. I want my things back.
454,Sheldon,I’d love to help you out but unfortunately  I’m using it.
455,Sheldon,I said the truth. You don’t want to live with Leonard and you know it.
456,Leonard,You mean are you talking gaming marathon?
457,Leonard,So one of my favourite video games of all time is called Shadow of the Colossus and it was only for PlayStation 2 but then they came out with a new version for PS3 with better graphics. I finally got the chance to play it and for some reason it just wasn’t as good as the first one. Or something about yoga.
458,Sheldon,That I have coitus with her.
459,Penny,So Sheldon have you talked to Amy?
460,Sheldon,That’s a big step.
461,Sheldon,Hello.
462,Leonard,Oh uh from the context we think it means kill me now.
463,Sheldon,The key is hidden in my room.
464,Raj,No I was just thinking about Jurassic World. Boy that was terrible.
465,Sheldon,Leonard a moment.
466,Raj,That’s how much we’re gonna melt people’s faces off.
467,Penny,Whoa whoa whoa. Why don’t you just admit you don’t want to be on a team with me.
468,Raj,I forbid it.
469,Sheldon,Oh good you’re home. I need you to do me a favour.
470,Sheldon,Good. There there was really all I had.
471,Penny,Good. I’m glad.
472,Raj,Uh yeah last night. He kept making me drop pencils for him. I got uncomfortable.  che-ee-ee-ese.
473,Raj,Here you go. I’ve got everything we’ll need for the big game. Low fat turkey jerky low-carb beer 100-calorie snack packs.
474,Penny,Sheldon did you draft the contract?
475,Raj,Okay. Oh how about this? Stuart’s dressed like a brother of the Night’s Watch and they don’t have sex.
476,Sheldon,It’s what we think caused your narcissistic personality disorder. We discussed it at length during our last video chat. Although how we got onto the subject of you is baffling.
477,Leonard,Oh hey.
478,Sheldon,What did I do?
479,Sheldon,But I came to file a complaint. Somebody has made me feel uncomfortable in the workplace by using language of an inappropriate and sexual nature.
480,Sheldon,Oh you caught that did you?
481,Sheldon,Arthur?
482,Penny,Really? This one?
483,Sheldon,Oh nice job man-hands.
484,Penny,I think the message is check out the rack on that scientist.
485,Raj,Answering the question once and for all why Wolowitz bailed out of medical school.
486,Leonard,I did.
487,Leonard,You’re not helping.
488,Raj,Don’t be silly. Just tell him.
490,Howard,I can’t wait to ask Stan Lee why he insists on giving all his characters first and last names that start with the same letter.
491,Sheldon,Hold on I have something for you.
492,Leonard,Good night.
493,Leonard,I think what he’s trying to say is that maybe in high school you picked on me a little bit.
494,Leonard,Yeah? What are you keeping?
495,Howard,Maybe you could run some computer simulations.
496,Sheldon,Rajesh.
497,Sheldon,No throwing no catching no running.
498,Penny,You mean like a date?
499,Sheldon,Well my mother’s been there for every honour I’ve won since I beat out my twin sister for the did it on the potty trophy. How does this look?
500,Sheldon,All right then. You should take a third train where you audition for the movie but hold off on making a career decision until you have more information.
501,Penny,Yeah lying isn’t my favourite part of the job. Actually I’m not crazy about a lot of it.
502,Penny,Oh my…
503,Sheldon,Hang on Penny. How about fans here and here?
504,Howard,Great idea. I haven’t had a carbohydrate in two weeks. These cheekbones need to be in front of a camera before I eat a pretzel and they’re gone.
505,Raj,I love you Penny.
506,Leonard,If you’re trying to make me feel better it’s not working.
507,Sheldon,No that’s my potty training journal.
508,Raj,Well that’s just Batman.
509,Raj,Okay.
510,Sheldon,No sir. He did try to give me one for my high school graduation but I was 11 and my mom said no.
511,Sheldon,Oh my. I’ve admired these for years.
512,Sheldon,AFK. I’m playing Age of Conan an online multiplayer game set in the universe of Robert E. Howard’s Conan the Barbarian.
513,Penny,Okay it’s not gonna say that.
514,Sheldon,When I was a little boy and got sick which was most of the time my mother would read it to me. It’s about an Indian princess who befriends a monkey who was mocked by all the other monkeys because he was different. For some reason I related to it quite strongly.
515,Leonard,Yeah sorry.
516,Sheldon,Then suffer in silence. Play. Play. Play.  Stephen Hawking.
517,Sheldon,What? Excuse me you have Dr. Sheldon Cooper in your lab. You’re gonna make him do the dishes? That’s like asking the Incredible Hulk to open a pickle jar.
518,Howard,It’s not so bad really. At least these trains have modern plumbing. In India you squat over a hole in the train and expose your naked buttocks to the chilly air of Rajasthan.
519,Penny,No. No no no. I think the cookie thing.
520,Raj,You’re right I should finish the game. I take my plus-one long sword stab myself in the face with it. I’m dead I’ve got a date with a girl. Bye.
521,Howard,It’s okay. I can’t get mad at your feelings.
522,Raj,God you never listen.
523,Raj,Guys I’m not living in a garage.
524,Sheldon,You know I just put that in because of uterus stuff.
525,Penny,Can we talk?
526,Raj,Oh oh don’t get me wrong nothing happened with me and Howard. There was about 200 pounds of Sailor Moon between us.
527,Leonard,Yes.
528,Sheldon,She can’t shoot me. She’s dead.
529,Penny,You can’t be this proud.
